*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2017 073   124       0   13020   64253       0   64253   63023  1230.2    0.00  1827.0  8911.4    0.00  8911.4  8879.6   31.81
 2017 074   125       0   13021   64251       0   64251   63024  1226.9    0.00  1827.1  8911.4    0.00  8911.4  8879.7   31.69
 2017 075   126       0   13021   64250       0   64250   63025  1224.3    0.00  1827.2  8911.4    0.00  8911.4  8879.8   31.59
 2017 076   127       0   13022   64248       0   64248   63026  1222.0    0.00  1827.2  8911.4    0.00  8911.4  8879.9   31.51
 2017 077   128       0   13022   64247       0   64247   63027  1219.7    0.00  1827.2  8911.4    0.00  8911.4  8879.9   31.43
 2017 078   129       0   13023   64246       0   64246   63028  1217.8    0.00  1827.3  8911.4    0.00  8911.4  8880.0   31.36
 2017 079   130       0   13024   64244       0   64244   63029  1215.3    0.00  1827.3  8911.3    0.00  8911.3  8880.1   31.27
 2017 080   131       0   13024   64242       0   64242   63030  1212.0    0.00  1827.4  8911.3    0.00  8911.3  8880.2   31.15
 2017 081   132       0   13025   64240       0   64240   63032  1207.9    0.00  1827.5  8911.3    0.00  8911.3  8880.3   31.00
 2017 082   133       0   13027   64236       0   64236   63035  1201.8    0.00  1827.6  8911.3    0.00  8911.3  8880.5   30.78
 2017 083   134       0   13029   64232       0   64232   63038  1194.7    0.00  1827.7  8911.2    0.00  8911.2  8880.7   30.52
 2017 084   135       0   13030   64229       0   64229   63040  1188.3    0.00  1827.8  8911.2    0.00  8911.2  8880.9   30.29
 2017 085   136       0   13032   64224       0   64224   63043  1180.6    0.00  1828.0  8911.2    0.00  8911.2  8881.2   30.01
 2017 086   137       0   13034   64220       0   64220   63046  1173.7    0.00  1828.1  8911.1    0.00  8911.1  8881.4   29.75
 2017 087   138       0   13035   64216       0   64216   63049  1166.9    0.00  1828.3  8911.1    0.00  8911.1  8881.6   29.51
 2017 088   139       0   13038   64211       0   64211   63053  1158.7    0.00  1828.4  8911.0    0.00  8911.0  8881.8   29.21
 2017 089   140       0   13040   64205       0   64205   63057  1148.7    0.00  1828.6  8911.0    0.00  8911.0  8882.1   28.85
 2017 090   141       0   13042   64199       0   64199   63061  1138.3    0.00  1828.8  8910.9    0.00  8910.9  8882.5   28.47
 2017 091   142       0   13044   64196       0   64196   63064  1132.2    0.00  1828.9  8910.9    0.00  8910.9  8882.6   28.25
 2017 092   143       0   13045   64193       0   64193   63066  1126.7    0.00  1829.0  8910.9    0.00  8910.9  8882.8   28.05
 2017 093   144       0   13047   64190       0   64190   63068  1121.6    0.00  1829.1  8910.8    0.00  8910.8  8882.9   27.87
 2017 094   145       0   13048   64186       0   64186   63070  1115.9    0.00  1829.2  8910.8    0.00  8910.8  8883.1   27.66
 2017 095   146       0   13049   64183       0   64183   63073  1110.1    0.00  1829.3  8910.7    0.00  8910.7  8883.3   27.45
 2017 096   147       0   13051   64180       0   64180   63075  1104.8    0.00  1829.4  8910.7    0.00  8910.7  8883.4   27.26
 2017 097   148       0   13052   64176       0   64176   63077  1099.0    0.00  1829.5  8910.6    0.00  8910.6  8883.6   27.05
 2017 098   149       0   13054   64173       0   64173   63080  1093.4    0.00  1829.6  8910.6    0.00  8910.6  8883.7   26.85
 2017 099   150       0   13055   64170       0   64170   63082  1087.6    0.00  1829.7  8910.5    0.00  8910.5  8883.9   26.63
