*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2017 088   139    0.0   12.3   13.4    9.6   19.2   0.58   10.2    4.7    7.4    8.3    6.6    7.4    8.3  221.4  400.5
 2017 089   140    0.0   12.4   13.4    9.6   19.2   0.59   10.5    2.3    6.3    7.6    3.7    6.3    7.6  298.8  400.5
 2017 090   141   28.1   12.4   13.5    9.7   19.4   0.59    8.9    4.5    6.6    7.4    3.9    6.6    7.4  590.1  400.5
 2017 091   142   25.8   12.5   13.5    9.8   19.6   0.59    7.0    2.0    4.4    5.3    3.7    4.4    5.3  541.7  400.5
 2017 092   143    0.0   12.5   13.6    9.9   19.8   0.59    5.5    0.6    3.0    3.8    1.7    3.0    3.8  292.1  400.5
 2017 093   144    0.1   12.6   13.6   10.0   20.0   0.58   13.3    5.3    9.2   10.6    1.1    9.2   10.6  139.5  400.5
 2017 094   145    1.7   12.6   13.7   10.0   20.0   0.59   12.2    7.3    9.7   10.5    6.6    9.7   10.5  281.2  400.5
 2017 095   146    3.7   12.7   13.7   10.1   20.2   0.59   12.1    7.2    9.6   10.4    7.5    9.6   10.4  335.2  400.5
 2017 096   147    5.7   12.7   13.8   10.2   20.4   0.59   11.4    5.4    8.3    9.4    6.0    8.3    9.4  290.4  400.5
 2017 097   148   11.6   12.8   13.8   10.3   20.6   0.59    4.8    2.5    3.6    4.0    2.3    3.6    4.0  731.2  400.5
