DAY HR   LAT     LON     DEP       CON
184 10 36.60 -85.75 0.53E-05 1.9E-8    
184 10 36.65 -85.75 0.73E-06 4.1E-10    
184 10 36.70 -85.75 0.59E-05 3.7E-8    
184 10 36.75 -85.75 0.45E-06 3.8E-9    
184 10 36.80 -85.75 0.71E-07 3.8E-10    
184 10 36.85 -85.75 0.66E-07 0.0    
184 10 36.90 -85.75 0.11E-11 0.0    
184 10 36.95 -85.75 0.32E-12 0.0    
184 10 35.80 -85.70 0.33E-06 0.0    
184 10 35.85 -85.70 0.20E-04 0.0    
184 10 35.90 -85.70 0.34E-04 0.0    
184 10 35.95 -85.70 0.30E-03 2.6E-6    
184 10 36.00 -85.70 0.22E-02 8.0E-6    
184 10 36.05 -85.70 0.37E-02 1.7E-5    
184 10 36.10 -85.70 0.27E-02 1.6E-5    
184 10 36.15 -85.70 0.53E-02 9.5E-6    
184 10 36.20 -85.70 0.59E-02 3.7E-5    
184 10 36.25 -85.70 0.13E-02 6.9E-6    
184 10 36.30 -85.70 0.26E-02 6.6E-6    
184 10 36.35 -85.70 0.20E-02 2.7E-6    
184 10 36.40 -85.70 0.32E-02 4.5E-6    
184 10 36.45 -85.70 0.36E-03 2.2E-7    
184 10 36.50 -85.70 0.61E-04 2.6E-8    
184 10 36.55 -85.70 0.46E-04 7.6E-9    
184 10 36.60 -85.70 0.45E-04 6.2E-7    
184 10 36.65 -85.70 0.21E-05 6.8E-9    
184 10 36.70 -85.70 0.15E-05 7.0E-10    
184 10 36.75 -85.70 0.37E-06 4.6E-11    
184 10 36.80 -85.70 0.58E-08 7.9E-11    
184 10 36.85 -85.70 0.93E-08 1.2E-10    
184 10 36.90 -85.70 0.15E-09 6.5E-13    
184 10 36.95 -85.70 0.23E-12 1.7E-15    
184 10 37.00 -85.70 0.52E-10 6.3E-13    
184 10 35.80 -85.65 0.37E-06 0.0    
184 10 35.85 -85.65 0.27E-04 0.0    
184 10 35.90 -85.65 0.17E-04 0.0    
184 10 35.95 -85.65 0.47E-04 0.0    
184 10 36.00 -85.65 0.63E-03 3.5E-6    
184 10 36.05 -85.65 0.39E-02 6.3E-6    
184 10 36.10 -85.65 0.46E-02 5.8E-8    
184 10 36.15 -85.65 0.12E-02 9.3E-7    
184 10 36.20 -85.65 0.51E-02 2.2E-5    
184 10 36.25 -85.65 0.30E-02 1.5E-5    
184 10 36.30 -85.65 0.27E-02 1.5E-5    
184 10 36.35 -85.65 0.19E-02 3.8E-7    
184 10 36.40 -85.65 0.13E-02 3.6E-6    
184 10 36.45 -85.65 0.88E-03 2.5E-6    
184 10 36.50 -85.65 0.68E-03 5.4E-7    
184 10 36.55 -85.65 0.43E-04 1.4E-7    
184 10 36.60 -85.65 0.42E-05 2.6E-9    
184 10 36.65 -85.65 0.63E-05 4.3E-8    
184 10 36.70 -85.65 0.37E-06 7.9E-10    
184 10 36.75 -85.65 0.10E-05 7.5E-12    
184 10 36.80 -85.65 0.84E-08 3.7E-14    
184 10 36.85 -85.65 0.70E-08 2.5E-11    
184 10 36.90 -85.65 0.60E-07 6.3E-14    
184 10 36.95 -85.65 0.16E-08 0.0    
184 10 35.80 -85.60 0.15E-06 0.0    
184 10 35.85 -85.60 0.13E-04 0.0    
184 10 35.90 -85.60 0.12E-04 0.0    
184 10 35.95 -85.60 0.40E-04 0.0    
184 10 36.00 -85.60 0.25E-02 2.1E-5    
184 10 36.05 -85.60 0.85E-02 2.9E-5    
184 10 36.10 -85.60 0.33E-02 1.3E-6    
184 10 36.15 -85.60 0.98E-02 6.8E-5    
184 10 36.20 -85.60 0.93E-03 3.1E-6    
184 10 36.25 -85.60 0.29E-02 9.2E-6    
184 10 36.30 -85.60 0.24E-02 1.7E-5    
184 10 36.35 -85.60 0.19E-03 1.1E-6    
184 10 36.40 -85.60 0.44E-03 2.6E-8    
184 10 36.45 -85.60 0.15E-02 1.1E-8    
184 10 36.50 -85.60 0.27E-03 7.7E-9    
184 10 36.55 -85.60 0.17E-04 1.1E-7    
184 10 36.60 -85.60 0.14E-04 1.1E-8    
184 10 36.65 -85.60 0.20E-04 5.4E-7    
184 10 36.70 -85.60 0.56E-05 4.3E-8    
184 10 36.75 -85.60 0.61E-06 8.5E-9    
184 10 36.80 -85.60 0.91E-06 8.5E-9    
184 10 36.85 -85.60 0.11E-07 1.1E-10    
184 10 36.90 -85.60 0.21E-07 1.0E-12    
184 10 36.95 -85.60 0.90E-08 3.8E-13    
184 10 37.00 -85.60 0.30E-09 0.0    
184 10 35.85 -85.55 0.21E-04 0.0    
184 10 35.90 -85.55 0.12E-04 0.0    
184 10 36.00 -85.55 0.17E-02 0.0    
184 10 36.05 -85.55 0.17E-02 1.3E-5    
184 10 36.10 -85.55 0.51E-02 3.6E-5    
184 10 36.15 -85.55 0.43E-02 1.7E-5    
184 10 36.20 -85.55 0.12E-01 4.6E-5    
184 10 36.25 -85.55 0.12E-02 6.6E-6    
184 10 36.30 -85.55 0.18E-02 1.1E-6    
184 10 36.35 -85.55 0.12E-02 1.7E-6    
184 10 36.40 -85.55 0.14E-03 8.6E-8    
184 10 36.45 -85.55 0.70E-03 5.3E-6    
